feature,Auroc,Auprc,N-rank,Last-TP-index,Last-TP-ratio,Auroc_std,Auprc_std,N-rank_std,Last-tp_std,Last-tp_Ratio-std
Only-seq,0.998106824632852,0.4983978000375583,0.9764479999999999,1441.4,0.017474554314971313,7.844611056020686e-05,0.004254345079665932,0.0013934762287172258,115.28590546983617,0.0014223170127670864
H3K27me3,0.997959916080464,0.49885729695154046,0.9762280000000001,1670.2,0.02029732897415335,9.992952515130092e-05,0.005070721102307546,0.0012079470187056954,115.98862013145947,0.001430986615649367
H3K27ac,0.9979990127113414,0.5033597157993448,0.97728,1582.8,0.019219048794028748,0.00012044522058667127,0.0037272221041620484,0.001248390964401776,142.73247703308454,0.0017609336503989204
ATAC-seq,0.9979325188201902,0.4996684170442135,0.976548,1650.6,0.020055517858244404,0.00012324447349225924,0.00615364663227258,0.0008722935285785427,154.20583646542048,0.001902483948743698
H3K4me3,0.9979747747747746,0.4979901576756114,0.9769880000000001,1724.8,0.020970945654185426,6.13920507613978e-05,0.005449361370180464,0.0011842702394301533,161.3374104168032,0.0019904683291197727
H3K4me1,0.9981305689250896,0.5065152238814061,0.9788359999999999,1525.1,0.01850718647831719,0.00015425496704014421,0.0062580612869775325,0.002106234554839504,184.8461251960668,0.002280502439036047
H3K27me3_H3K27ac_ATAC-seq_H3K4me3_H3K4me1,0.9976842650870049,0.5024558720224297,0.9763,1869.2,0.022752452038739126,0.0002158054080269008,0.003533502766755684,0.0010277742942884185,265.5088699083328,0.00327566306715604
